id,mission,position,title,text,action,success,failure,result

MISUN1,"Sunriders",1,"Arban the Swift's Sunset Ride",,"Solo Command: 1","Success: +1 Command. Burn card.","Failure: Embarrassed.",
MISUN2,"Sunriders",1,"Battle Plans",,"Solo Rapport: 2","Success: +1 Tactics. Burn card.","Failure: Angry.",
MISUN3,"Sunriders",1,"Feast at Hogel Manor",,"Group Command: 2 (Option: Spend 4 food to lower difficulty by 1.)",,"Failure: All characters are embarrassed.",
MISUN4,"Sunriders",1,"Channeling on the Steppes",,"(Optional) Group Rapport: 2","Success: +2 Military.","Failure: All characters are embarrassed.",
MISUN5,"Sunriders",2,"Rumors of Smoke and Fire",,"Group Tactics: 3","Success: Unlock Pelakhar's Loyalty quest. Burn card.",,

MIGRV1,"Gravewood",1,"Samo's Humiliations",,"Lowest Command: 1",,"Failure: Angry.",
MIGRV2,"Gravewood",1,"Setting Traps with Radia",,"Solo Thievery: 2","Success: +1 Thievery. Burn card.","Failure: Wounded.",
MIGRV3,"Gravewood",1,"Galya's Egalitarian Society",,"Solo Rapport: 2","Success: +1 Rapport. Burn card.","Failure: Angry.",
MIGRV4,"Gravewood",1,"Council with Lev and Sdila",,"(Optional) Group Command: 3","Success: +2 Espionage.",,
MIGRV5,"Gravewood",2,"A Summit of the Five Havens",,"Group Rapport: 4","Success: Unlock Gossamer Spirit quest. Burn card.","Failure: All characters embarrassed.",

MICRH1,"Crescent Hold",1,"Audience With the Miners",,"Lowest Command: 2",,"Failure: Angry.",
MICRH2,"Crescent Hold",1,"Training with The Boar",,"Solo Combat: 2","Success: +1 Combat. Burn card.","Failure: Weary.",
MICRH3,"Crescent Hold",1,"Pupil of the Learning Council",,"(Optional) Group Command: 3","Success: +2 Conquest.","Failure: Angry.",
MICRH4,"Crescent Hold",2,"Into the Great Deeps",,"Group Tactics: 4","Success: Unlock quest for Aren's Forge. Burn card.","Failure: All characters embarrassed.",
MICRH5,"Crescent Hold",2,"Measure Twice, Cut Once",,"Group Command: 5","Success: Development progress card. Burn card.","Failure: All characters embarrassed.",

MIBUR1,"Burgan Vale",1,"Elisa's Secrets",,"Lowest Lore: 3",,"Failure: Shaken.",
MIBUR2,"Burgan Vale",1,"The Hierophant of the Blue Robes",,"Solo Lore: 3","Success: +1 Lore. Burn card.","Failure: Embarrassed.",
MIBUR3,"Burgan Vale",1,"Council of the Blue Robes",,"(Optional) Group Lore: 4","Success: +2 Sorcery.","Failure: All characters embarrassed.",
MIBUR4,"Burgan Vale",2,"The Keeper of Natural Lore",,"Group Lore: 5","Success: Yasmina joins party. Burn card.","Failure: All characters embarrassed.",
MIBUR5,"Burgan Vale",2,"Stories of the Gray Recluse",,"Group Lore: 6","Success: Unlock quest for Thedda's Palimpsest.","Failure: All characters embarrassed.",

MILIM1,"Lily Manor",1,"Tincture of Yellow Lotus",,"Lowest Rapport: 3",,"Failure: Angry.",
MILIM2,"Lily Manor",1,"Speaker for Brass Manor",,"Solo Rapport: 3","Success: +1 Rapport. Burn card.","Failure: Angry.",
MILIM3,"Lily Manor",1,"Ventures in the Bazaar",,"(Optional) Group Rapport: 5","Success: +2 Diplomacy and +2 Stability.","Failure: All characters embarrassed.",
MILIM4,"Lily Manor",2,"Companion of Candlelight Keep",,"Group Rapport: 6","Success: Viator joins party. Burn card.","Failure: Embarrassed.",
MILIM5,"Lily Manor",2,"Fall of Crow Manor",,"Group Rapport: 7","Success: Unlock quest for Sapphire Djinn. Burn card.","Failure: Angry.",
