id,mission,position,deck,type,tags,title,blocka,blockb,blockc,blockd

SUNRI01,"Sunriders",S,"Mission","Location","Urban, Military","Hogel Manor","Action: Task (Command).","Action: Spend 9 progress to increase Sunrider Disposition track by one.",,	
SUNRI02,"Sunriders",S,"Mission","Location","Wilderness, Spotlight","Horsethief Meadows","Action: Spend 3 Food to add progress equal to Tactics on any card with a Military tag.",,,

SUNRI03,"Sunriders",0,"Hogel's Tour","Obstacle","Diplomat","Arban the Swift","Hindrance: 1","Action: Test (Command 1). Success: Discard. Failure: +1 Discord.","(FORCEFUL) +3 Discord. Defense: Command. If in staging area, move to occupied mission location.",
SUNRI04,"Sunriders",0,"Hogel's Tour","Challenge","Urban","Feast at Hogel Manor","Placement: Hogel Manor","Action: Task (Rapport).","Immediate: Spend 5 progress. Increase Sunrider Disposition track by one. Move to stage 1.",	
SUNRI05,"Sunriders",1,"Hogel's Tour","Location","Urban, Spotlight","Song Bluff","Effect: All characters increase their Tactics by Sunrider Disposition while at least one character is at this location.","(DOOM) Test: Command 4. Failure: Shaken.",,	
SUNRI06,"Sunriders",1,"Hogel's Tour","Challenge","Urban","Uneasy Truce, Military","Placement: Song Bluff","Action: Task (Survival).","Immediate: Spend 7 progress. One character at location gains +1 Tactics. Move to stage 2.",	
SUNRI07,"Sunriders",1,"Hogel's Tour","Obstacle","Diplomat","Ile","Hindrance: 1","Action: Test (Lore 1). Success: Discard. Failure: +1 Discord.","(WEIRD) +3 Discord. Defense: Lore. If in staging area, move to occupied mission location.",
SUNRI08,"Sunriders",2,"Hogel's Tour","Challenge","Wilderness","Rumors of Smoke and Fire","Placement: Horsethief Meadows","Action: Task (Tactics).","Immediate: Spend 7 progress. Increase Sunrider Disposition track by one. Complete Mission Path.",
SUNRI09,"Sunriders",2,"Hogel's Tour","Obstacle","Diplomat","Taichu","Hindrance: 1","Action: Test (Tactics 1). Success: Discard. Failure: +1 Discord.","(QUICK) +3 Discord. Defense: Tactics. If in staging area, move to occupied mission location.",

SUNRI10,"Sunriders",,"Encounter","Obstacle","Diplomat","Hogel","Hindrance: 2","Action: Test (Rapport 1). Success: Discard. Failure: +1 Discord.","(SNEAKY) One character at Sunriders location is Angry. If in staging area, move to occupied mission location.",
SUNRI11,"Sunriders",,"Encounter","Obstacle","Diplomat","Dashen","Hindrance: 1","Action: Test (Rapport 1). Success: Discard. Failure: +1 Discord.","(GANG) +2 Discord. Defense: Rapport. If in staging area, move to occupied mission location.",
SUNRI12,"Sunriders",,"Encounter","Event","Magic","Channeling on the Steppes","Immediate: Optional Test (Rapport 2).","Success: +2 Mana Dice.","Failure: All characters are Frustrated.",
SUNRI13,"Sunriders",,"Encounter","Event","Military","Taichu's Test","Immediate: Test (Command 1). Success: +1 Fortune. Failure: +2 Discord.",,,
SUNRI14,"Sunriders",,"Encounter","Event","Diplomacy","Arban the Swift's Sunset Ride","Immediate: Test (Command 1).","Success: +1 Fortune. Failure: Frustrated.",,
SUNRI15,"Sunriders",,"Encounter","Event","Military","Battle Plans","Immediate: Test (Rapport 1).","Success: +1 Fortune. Failure: +3 Discord.",,	
SUNRI16,"Sunriders",,"Encounter","Event","Military","Imperial Strategies","Immediate: Test (Tactics 1).","Success: Place one progress on any Sunrider challenge or location. Failure: +2 Discord.",,	
SUNRI17,"Sunriders",,"Encounter","Attachment","Effect","A Bitter Grudge","Key: Angry Character at Sunrider Location.","Effect: Play on the Angry character. Rapport tests are difficult for remainder of mission. Discard effect if Angry condition is removed.",,
SUNRI18,"Sunriders",,"Encounter","Event","Diplomacy","Shame To Anger","Key: Frustrated Character at Sunrider Location.","Result: The Frustrated character gains the Angry condition.",,
SUNRI19,"Sunriders",,"Encounter","Event","Military","The Coming War","Immediate: Test (Tactics 1).","Success: Add two progress to any Sunriders location or attachment.",,		
SUNRI20,"Sunriders",,"Encounter","Event","Diplomacy","Rousing Speech","Immediate: Test (Rapport 1).","Success: +1 Fortune.","Failure: +2 Discord.",
SUNRI21,"Sunriders",,"Encounter","Event","Diplomacy","A First Impression","Immediate: Test (Command 1).","Success: +1 Fortune. Failure: +2 Discord.",,
SUNRI22,"Sunriders",,"Encounter","Event","Rumor","Ile's Campaign","Immediate: +1 Fortune",,,
SUNRI23,"Sunriders",,"Encounter","Event","Rumor","Rumors of Smoke","Immediate: +1 Fortune",,,
SUNRI24,"Sunriders",,"Encounter","Event","Diplomacy","Welcome Party","Immediate: Gain Fortune equal to Diplomacy.",,,
