name,tags,points,bonus,x1,x2,x3,y1,y2,y3,locregion,locresource,background,iconeffect,texteffect,@asset_image

Undari's Map,Map,7,BLxxSORCERYBL,WWxxFSQUAREWW,WWxxFSQUAREWW,WWxxFSQUAREWW,xxWSIX,xxWSIX,xxWSIX,xxBRIGHTDUNE,BDxxSTABILITYBD,RBxxFSQUARERB,,"xxPLAY: Place any xxSORCERY location","..\images\ai_assets\painting of fantasy map, in the style of stephanie pui-mun law 80 76626.png"
Warhorse,Horse,6,xxTACTICS,LLxxFSQUARELL,,GGxxFSQUAREGG,,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,xxDEFENSE,,"..\images\ai_assets\fantasy painting of warhorse standing in fieldned rogers 6_66 134 177397.png"
Zarah's Charm,Jewelry,7,xxRAPPORT,WWxxFSQUAREWW,,WWxxFSQUAREWW,xxSETTLED,,xxWFOUR,xxEMPIRE,EMxxTECHNOLOGYEM,EMxxFSQUAREEM,xxOVERCOME,,"..\images\ai_assets\painting of fantasy silver necklace with persian design, in the style of greg rukowski 120 183110.png"
Riding Horse,Horse,4,xxSURVIVAL,,,WWxxFSQUAREWW,,,xxSETTLED,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,xxMOVEMENT,,"..\images\ai_assets\fantasy painting of warhorse standing in field, in the style of larry elmore and mahmud asrar and brom 54 48015.png"
Cart,Horse,3,YYxxSTABILITYYY,WWxxFSQUAREWW,,WWxxFSQUAREWW,,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,,"May remove xxFLAKE from cart and place at character's location","..\images\ai_assets\painting of fantasy wooden cart, in the style of tony diterlizzi 66 137094.png"

Name,,3,xxTACTICS,LLxxFSQUARELL,,,,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,xxPLAY xxRIGHT xxPSYCHExxPSYCHE,,
Name,,3,xxCOMBAT,GGxxFSQUAREGG,,,,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,xxMOVE,,
Name,,3,xxSURVIVAL,GGxxFSQUAREGG,,,,,,xxBRIGHTDUNE,BDxxMILITARYBD,RBxxFSQUARERB,,Angry: xxDEFENSExxDEFENSE,
Name,,3,xxTACTICS,OOxxFSQUAREOO,,,,,,xxEMPIRE,EMxxTECHNOLOGYEM,EMxxFSQUAREEM,xxTECHNOLOGY xxRIGHT xxESPIONAGE,,
Name,,3,xxDISGUISE,BBxxFSQUAREBB,,,,,,xxSETTLED,SLxxSORCERYSL,SLxxFSQUARESL,xxDEFENSE,,
Name,,3,xxCOMBAT,MMxxFSQUAREMM,,,,,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,xxMOVE,,
Name,,3,xxTACTICS,LLxxFSQUARELL,,,,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,xxMILITARY xxRIGHT xxDIPLOMACY,,
Name,,3,xxCOMMAND,YYxxFSQUAREYY,,,,,,xxBRIGHTDUNE,BDxxSTABILITYBD,RBxxFSQUARERB,,,
Name,,3,xxCOMMAND,YYxxFSQUAREYY,,,,,,xxBRIGHTDUNE,BDxxSTABILITYBD,RBxxFSQUARERB,xxSORCERY xxRIGHT xxASSET,,
Name,,3,xxCOMMAND,BBxxFSQUAREBB,,,,,,xxSETTLED,SLxxSORCERYSL,SLxxFSQUARESL,xxOVERCOME,,
Name,,3,xxCOMBAT,WWxxFSQUAREWW,,,xxWFOUR,,,xxBRIGHTDUNE,BDxxSTABILITYBD,RBxxFSQUARERB,,,
Name,,3,xxRAPPORT,WWxxFSQUAREWW,,,xxWTWO,,,xxBRIGHTDUNE,BDxxSORCERYBD,RBxxFSQUARERB,,,
Name,,3,xxSURVIVAL,GGxxFSQUAREGG,,,,,,xxBRIGHTDUNE,BDxxMILITARYBD,RBxxFSQUARERB,,,
Name,,3,xxSURVIVAL,GGxxFSQUAREGG,,,,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,xxOVERCOME,,
Name,,3,xxTHIEVERY,MMxxFSQUAREMM,,,,,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,xxPLAY xxRIGHT xxBODYxxBODY,,
Name,,3,xxCOMBAT,MMxxFSQUAREMM,,,,,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,,,
Name,,4,BLxxSORCERYBL,WWxxFSQUAREWW,,,xxEMPIRE,,,xxSETTLED,SLxxTECHNOLOGYSL,SLxxFSQUARESL,,Angry: xxDEFENSExxDEFENSE,
Name,,4,OOxxTECHNOLOGYOO,WWxxFSQUAREWW,,,xxBRIGHTDUNE,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,,,
Name,,4,MMxxESPIONAGEMM,WWxxFSQUAREWW,,,xxBRIGHTDUNE,,,xxBRIGHTDUNE,BDxxMILITARYBD,RBxxFSQUARERB,xxSTABILITY xxRIGHT xxTECHNOLOGY,,
Name,,4,LLxxDIPLOMACYLL,WWxxFSQUAREWW,,,xxEMPIRE,,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,xxTECHNOLOGY xxRIGHT xxESPIONAGE,,
Name,,4,GGxxMILITARYGG,WWxxFSQUAREWW,,,xxWTHREE,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,xxDEFENSE,,
Name,,4,YYxxSTABILITYYY,WWxxFSQUAREWW,,,xxEMPIRE,,,xxSETTLED,SLxxTECHNOLOGYSL,SLxxFSQUARESL,,,
Name,,4,xxCOMMAND,WWxxFSQUAREWW,,,xxWONE,,,xxSETTLED,SLxxTECHNOLOGYSL,SLxxFSQUARESL,xxSORCERY xxRIGHT xxASSET,,
Name,,4,xxLORE,WWxxFSQUAREWW,,,xxWFOUR,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,xxOVERCOME,,
Name,,4,xxLORE,WWxxFSQUAREWW,,,xxEMPIRE,,,xxEMPIRE,EMxxTECHNOLOGYEM,EMxxFSQUAREEM,xxSORCERY xxRIGHT xxASSET,,
Name,,4,xxCOMMAND,WWxxFSQUAREWW,,,xxSETTLED,,,xxSETTLED,SLxxSORCERYSL,SLxxFSQUARESL,,,
Name,,4,xxDISGUISE,WWxxFSQUAREWW,,,xxEMPIRE,,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,,,
Name,,4,xxTACTICS,WWxxFSQUAREWW,,,xxWSIX,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,,,
Name,,4,xxRAPPORT,WWxxFSQUAREWW,,,xxWSIX,,,xxBRIGHTDUNE,BDxxSTABILITYBD,RBxxFSQUARERB,xxOVERCOME,,
Name,,4,xxCOMBAT,WWxxFSQUAREWW,,,xxWTWO,,,xxSETTLED,SLxxTECHNOLOGYSL,SLxxFSQUARESL,,,
Name,,5,BLxxSORCERYBL,WWxxFSQUAREWW,,,OOxxFOUROO,,,xxEMPIRE,EMxxTECHNOLOGYEM,EMxxFSQUAREEM,,,
Name,,5,OOxxTECHNOLOGYOO,WWxxFSQUAREWW,,,GGxxSIXGG,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,,,
Name,,5,MMxxESPIONAGEMM,WWxxFSQUAREWW,,,MMxxTHREEMM,,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,,,
Name,,5,LLxxDIPLOMACYLL,WWxxFSQUAREWW,,,LLxxONELL,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,xxSORCERY xxRIGHT xxASSET,,
Name,,5,GGxxMILITARYGG,WWxxFSQUAREWW,,,LLxxTHREELL,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,xxSORCERY xxRIGHT xxASSET,,
Name,,5,YYxxSTABILITYYY,WWxxFSQUAREWW,,,LLxxFIVELL,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,xxOVERCOME,,
Name,,5,xxTACTICS,WWxxFSQUAREWW,,,OOxxFIVEOO,,,xxSETTLED,SLxxTECHNOLOGYSL,SLxxFSQUARESL,,,
Name,,5,xxTACTICS,WWxxFSQUAREWW,,,GGxxTWOGG,,,xxBRIGHTDUNE,BDxxMILITARYBD,RBxxFSQUARERB,xxSORCERY xxRIGHT xxASSET,,
Name,,5,xxDISGUISE,WWxxFSQUAREWW,,,LLxxSIXLL,,,xxSETTLED,SLxxDIPLOMACYSL,SLxxFSQUARESL,,Angry: xxDEFENSExxDEFENSE,
Name,,5,xxRAPPORT,WWxxFSQUAREWW,,,OOxxTWOOO,,,xxEMPIRE,EMxxTECHNOLOGYEM,EMxxFSQUAREEM,xxMOVE,,
Name,,5,xxLORE,WWxxFSQUAREWW,,,GGxxFIVEGG,,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,,,
Name,,5,xxRAPPORT,WWxxFSQUAREWW,,,YYxxONEYY,,,xxBRIGHTDUNE,BDxxSTABILITYBD,RBxxFSQUARERB,xxOVERCOME,,
Name,,5,xxRAPPORT,WWxxFSQUAREWW,,,BBxxTHREEBB,,,xxSETTLED,SLxxSORCERYSL,SLxxFSQUARESL,,,
Name,,6,OOxxTECHNOLOGYOO,WWxxFSQUAREWW,WWxxFSQUAREWW,,xxEMPIRE,xxEMPIRE,,xxEMPIRE,EMxxTECHNOLOGYEM,EMxxFSQUAREEM,xxSORCERY xxRIGHT xxASSET,,
Name,,7,MMxxESPIONAGEMM,LLxxFSQUARELL,WWxxFSQUAREWW,,,xxWTWO,,xxBRIGHTDUNE,BDxxSORCERYBD,RBxxFSQUARERB,,,
Name,,7,LLxxDIPLOMACYLL,GGxxFSQUAREGG,WWxxFSQUAREWW,,,xxWONE,,xxBRIGHTDUNE,BDxxSORCERYBD,RBxxFSQUARERB,,Angry: xxDEFENSExxDEFENSE,
Name,,8,GGxxMILITARYGG,WWxxFSQUAREWW,WWxxFSQUAREWW,,xxWSIX,xxEMPIRE,,xxBRIGHTDUNE,BDxxMILITARYBD,RBxxFSQUARERB,xxDEFENSE,,
Name,,6,YYxxSTABILITYYY,LLxxFSQUARELL,YYxxFSQUAREYY,,,,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,,Angry: xxDEFENSExxDEFENSE,
Name,,9,BLxxSORCERYBL,WWxxFSQUAREWW,WWxxFSQUAREWW,,BBxxFOURBB,OOxxTWOOO,,xxSETTLED,SLxxTECHNOLOGYSL,SLxxFSQUARESL,xxMILITARY xxRIGHT xxDIPLOMACY,,
Name,,8,BLxxSORCERYBL,GGxxFSQUAREGG,WWxxFSQUAREWW,,,xxEMPIRE,,xxBRIGHTDUNE,BDxxSTABILITYBD,RBxxFSQUARERB,,,
Name,,9,OOxxTECHNOLOGYOO,WWxxFSQUAREWW,WWxxFSQUAREWW,,YYxxTHREEYY,MMxxFOURMM,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,,,
Name,,9,MMxxESPIONAGEMM,WWxxFSQUAREWW,WWxxFSQUAREWW,,OOxxFOUROO,MMxxSIXMM,,xxEMPIRE,EMxxESPIONAGEEM,EMxxFSQUAREEM,xxPLAY xxRIGHT xxPSYCHExxPSYCHExxPSYCHE,,
Name,,9,LLxxDIPLOMACYLL,WWxxFSQUAREWW,WWxxFSQUAREWW,,GGxxSIXGG,YYxxONEYY,,xxBRIGHTDUNE,BDxxMILITARYBD,RBxxFSQUARERB,xxSTABILITY xxRIGHT xxTECHNOLOGY,,
Name,,9,GGxxMILITARYGG,WWxxFSQUAREWW,WWxxFSQUAREWW,,YYxxONEYY,BBxxTHREEBB,,xxSETTLED,SLxxSORCERYSL,SLxxFSQUARESL,xxSTABILITY xxRIGHT xxTECHNOLOGY,,
Name,,9,YYxxSTABILITYYY,WWxxFSQUAREWW,WWxxFSQUAREWW,,GGxxTWOGG,GGxxFOURGG,,xxEMPIRE,EMxxMILITARYEM,EMxxFSQUAREEM,xxMILITARY xxRIGHT xxDIPLOMACY,,
