id,mission,position,deck,type,tags,title,blocka,blockb,blockc,blockd

SIGHT01,"Sightrock",S,"Mission","Location (Red Bank)","Wilderness","Lush Fields","Action: Convert any number of food dice into fortune dice.",,,
SIGHT02,"Sightrock",S,"Mission","Location (Red Bank)","Wilderness","Salmon Run","Action: Ongoing Conquest.","Immediate: Spend 10 progress to raise food track by one.","(DISASTER) Test: Survival 3. Failure: +4 Discord.",
SIGHT03,"Sightrock",S,"Mission","Location (Red Bank)","Wilderness","North Camp","Action: Ongoing Survival.","Action: Spend progress. 4: +1 timber die. 7: +2 timber dice. 9: +3 timber dice. 10: +4 timber dice.","(CALAMITY) A fire breaks out! Lose all progress on this location.",
SIGHT04,"Sightrock",S,"Mission","Location (Red Bank)","Dungeon, Magical","Sightrock","Effect: All characters at this location have +1 Lore.","(SORCERY) Test: Lore 2. Failure: One character is shaken.",,

SIGHT05,"Sightrock",S,"Journey Under the Rock","Attachment","Challenge, Wilderness","TBD","Placement: TBD","Action: Ongoing Survival","Immediate: Spend 6 progress. Move to stage 1. Burn card.",
SIGHT06,"Sightrock",1,"Journey Under the Rock","Attachment","Challenge, Wilderness","TBD","Placement: TBD","Action: Ongoing Survival","Immediate: Spend 5 progress. Move to stage 2. Burn card.",
SIGHT07,"Sightrock",2,"Journey Under the Rock","Attachment","Challenge, Wilderness","TBD","Placement: TBD","Action: Ongoing Combat","Immediate: Spend 6 progress. Complete mission path. Burn card.",

SIGHT08,"Sightrock",S,"Fear and Loathing","Obstacle","Foe, Undead","The Necromancer","Hindrance: 2","Action: Test Lore 3. Success: Gain +1 mana die and burn card. Failure: +1 Discord.","(WEIRD) +4 Discord. Defense: Combat. If in staging area, move to occupied mission location.",
SIGHT09,"Sightrock",S,"Fear and Loathing","Attachment","Challenge, Trap","Hall of Traps","Placement: Musty Tomb","Action: Ongoing Thievery","Immediate: Spend 3 progress. Move to stage 1. Burn card.",
SIGHT10,"Sightrock",1,"Fear and Loathing","Attachment","Challenge, Magical","The Runeward","Placement: Musty Tomb","Action: Ongoing Lore","Immediate: Spend 6 progress. Move to stage 2. Burn card.",
SIGHT11,"Sightrock",1,"Fear and Loathing","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test Combat 2. Success: Discard. Failure: + 1 Discord.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied mission location.",
SIGHT12,"Sightrock",2,"Fear and Loathing","Attachment","Challenge, Magical","The Necromancer's Dark Heart","Placement: Musty Tomb","Action: Ongoing Combat","Immediate: Spend 7 progress. Complete mission path. Burn card.",
SIGHT13,"Sightrock",2,"Fear and Loathing","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test Combat 2. Success: Discard. Failure: + 1 Discord.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied mission location.",

SIGHT12,"Sightrock",,"Encounter","Hand","Resource","Food Source","Interrupt: +2 Food. Roll dice and add to pool.",,,
SIGHT13,"Sightrock",,"Encounter","Hand","Resource","Food Source","Interrupt: +2 Timber. Roll dice and add to pool.",,,
SIGHT13,"Sightrock",,"Encounter","Hand","Resource","Food Source","Interrupt: +2 Timber. Roll dice and add to pool.",,,
SIGHT14,"Sightrock",,"Encounter","Hand","Resource","Ore Source","Interrupt: +2 Ore. Roll dice and add to pool.",,,
SIGHT15,"Sightrock",,"Encounter","Hand","Resource","Mana Source","Interrupt: +2 Mana. Roll dice and add to pool.",,,
SIGHT16,"Sightrock",,"Encounter","Hand","Special","Engines of Progress","Interrupt: Place progress in any Red Bank wilderness location or attachment equal to Conquest.",,,
SIGHT18,"Sightrock",,"Encounter","Event","Beast","Forest Boar","Immediate: Test Lowest Combat 1. Failure: Weary.",,,
SIGHT19,"Sightrock",,"Encounter","Event","Environment","Rocky Terrain","Immediate: Test Survival 2. Failure: +2 Discord.",,,
SIGHT20,"Sightrock",,"Encounter","Event","Environment","Storms","Immediate: Test Survival 2. Failure: +2 Discord.",,,
SIGHT23,"Sightrock",,"Encounter","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test Combat 2. Success: Discard. Failure: + 1 Discord.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied mission location.",
SIGHT24,"Sightrock",,"Encounter","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test Combat 2. Success: Discard. Failure: + 1 Discord.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied mission location.",
SIGHT25,"Sightrock",,"Encounter","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test Combat 2. Success: Discard. Failure: + 1 Discord.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied mission location.",
SIGHT26,"Sightrock",,"Encounter","Attachment","Effect, Environment","Grueling Wilds","Placement: On character with lowest Survival.","(DOOM) Solo Test: Survival 2. Failure: Weary.","On Movement: If character moves out of Sightrock location, remove condition.",
SIGHT27,"Sightrock",,"Encounter","Event","Rumor","TBD","Immediate: +1 Fortune",,,
SIGHT28,"Sightrock",,"Encounter","Event","Rumor","TBD","Immediate: +1 Fortune",,,
SIGHT29,"Sightrock",,"Encounter","Event","Scouts","TBD","Immediate: Gain fortune equal to Conquest.",,,
