tags,trigger,stage,defense,attack

"Threat","xxSPRING","Starting","2","xxSTABILITY"
"Threat","xxSUMMER","Starting","3","xxSTABILITY"
"Threat","xxFALL","Starting","4","xxSTABILITY xxMILITARY"
"Threat","xxWINTER","Starting","5","xxSTABILITY xxDIPLOMACY"
"Threat","xxSPRING","Starting","6","xxSTABILITY xxSORCERY"
"Threat","xxSUMMER","Starting","7","xxSTABILITY xxTECHNOLOGY xxDIPLOMACY"
"Threat","xxFALL","Starting","2","xxESPIONAGE"
"Threat","xxWINTER","Starting","3","xxESPIONAGE"
"Threat","xxSPRING","Starting","4","xxESPIONAGE xxDIPLOMACY"
"Threat","xxSUMMER","Starting","5","xxESPIONAGE xxDIPLOMACY"
"Threat","xxFALL","Starting","6","xxESPIONAGE xxDIPLOMACY xxMILITARY"
"Threat","xxWINTER","Starting","7","xxESPIONAGE xxDIPLOMACY xxMILITARY"
"Threat","xxSPRING","Starting","2","xxSORCERY"
"Threat","xxSUMMER","Starting","3","xxSORCERY"
"Threat","xxFALL","Starting","4","xxSORCERY xxSTABILITY"
"Threat","xxWINTER","Starting","5","xxSORCERY xxSTABILITY"
"Threat","xxSPRING","Starting","6","xxSORCERY xxSTABILITY"
"Threat","xxSUMMER","Starting","7","xxSORCERY xxSTABILITY xxESPIONAGE"
"Threat","xxFALL","Starting","2","xxDIPLOMACY"
"Threat","xxWINTER","Starting","3","xxDIPLOMACY"
"Threat","xxSPRING","Starting","4","xxDIPLOMACY xxMILITARY"
"Threat","xxSUMMER","Starting","5","xxDIPLOMACY xxMILITARY"
"Threat","xxFALL","Starting","6","xxDIPLOMACY xxMILITARY"
"Threat","xxWINTER","Starting","7","xxDIPLOMACY xxMILITARY xxTECHNOLOGY"
"Threat","xxSPRING","Starting","2","xxTECHNOLOGY"
"Threat","xxSUMMER","Starting","3","xxTECHNOLOGY"
"Threat","xxFALL","Starting","4","xxTECHNOLOGY"
"Threat","xxWINTER","Starting","5","xxTECHNOLOGY xxSORCERY"
"Threat","xxSPRING","Starting","6","xxTECHNOLOGY xxESPIONAGE"
"Threat","xxSUMMER","Starting","7","xxTECHNOLOGY xxESPIONAGE xxSORCERY"
"Threat","xxFALL","Starting","2","xxMILITARY"
"Threat","xxWINTER","Starting","3","xxMILITARY xxTECHNOLOGY"
"Threat","xxSPRING","Starting","4","xxMILITARY xxSTABILITY"
"Threat","xxSUMMER","Starting","5","xxMILITARY xxSTABILITY xxTECHNOLOGY"
"Threat","xxFALL","Starting","6","xxMILITARY xxSTABILITY xxDIPLOMACY"
"Threat","xxWINTER","Starting","7","xxMILITARY xxSTABILITY xxDIPLOMACY"
