region,trigger,stage,name,tags,skill,resource,defense,difficulty,attack,effect,activation,overcome,bust

"Empire","xxTIMER","Starting","Twist Name","Tags",,,,,,"-1 Skill Die",,,
"Empire","xxTIMER","Starting","Twist Name","Tags",,,,,,"+1 Skill Die",,,
"Empire","xxMAIDEN","Starting","Twist Name","Tags",,,,,,"More Difficult",,,
"Empire","xxMAIDEN","Starting","Twist Name","Tags",,,,,,"Less Difficult",,,
"Empire","xxMAIDEN","Starting","Twist Name","Tags",,,,,,"Higher Obstacle",,,
"Empire","xxMAIDEN","Starting","Twist Name","Tags",,,,,,"Lower Obstacle",,,
"Empire","xxMAIDEN","Starting","Twist Name","Tags",,,,,,"Add Combat",,,
"Empire","xxMAIDEN","Starting","Twist Name","Tags",,,,,,"Add Lore",,,
"Empire","xxMAIDEN","Starting","Twist Name","Tags",,,,,,"Add Espionage",,,
"Empire","xxMOTHER","Starting","Twist Name","Tags",,,,,,"Add Rapport",,,
"Empire","xxMOTHER","Starting","Twist Name","Tags",,,,,,"Add Command",,,
"Empire","xxMOTHER","Starting","Twist Name","Tags",,,,,,"Add Stability",,,
"Empire","xxMOTHER","Starting","Twist Name","Guard",,,,,,"Faster Movement",,,
"Empire","xxMOTHER","Starting","Twist Name","Tags",,,,,,"Remove Asset",,,
"Empire","xxCRONE","Starting","Twist Name","Tags",,,,,,"Less Difficult",,,
"Empire","xxCRONE","Starting","Twist Name","Tags",,,,,,"Reroll Assets",,,
"Empire","xxCRONE","Starting","Twist Name","Tags",,,,,,"Higher Obstacle",,,
