region,trigger,name,tags,threats,skill,defense,overcome,difficulty,attack,bodytext,@mission_image

"xxEMPIRE","xxSPRING","Imperial Guard","Guard, Foe, xxSTACK","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxRIGHT Move guard to xxEMPIRE location with lowest xxTHIEVERY character. All characters at this location take 1 xxBODY.","..\images\obstacles\byzantine_guard.png"
"xxEMPIRE","xxFALL","Imperial Guard","Guard, Foe, xxSTACK","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxRIGHT Move guard to xxEMPIRE location with lowest xxTHIEVERY character. All characters at this location take 1 xxBODY.","..\images\obstacles\byzantine_guard.png"
"xxEMPIRE","xxSUMMER","Imperial Guard","Guard, Foe, xxSTACK","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxRIGHT Move guard to xxEMPIRE location with lowest xxTHIEVERY character. All characters at this location take 1 xxBODY.","..\images\obstacles\byzantine_guard.png"
"xxEMPIRE","xxSUMMER","Tripwire","Trap, xxSTACK","##NBSP##xxTECHNOLOGY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxONE##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","Characters with xxTHIEVERY < 4 moving into this location take 3 xxBODY.","..\images\obstacles\tripwire_color.png"
"xxEMPIRE","xxSPRING","Orb of Seeing","Trap, xxSTACK","##NBSP##xxSORCERY##NBSP##",xxLORE,"##NBSP##xxSIX##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Move to location with lowest xxLORE character. Each character in this region takes 1 xxPSYCHE.","..\images\obstacles\dark_orb.jpg"

"xxEMPIRE","xxFALL","Praetorians","Unit, xxSTACK","##NBSP##xxMILITARY##NBSP##",xxTACTICS,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","If at xxREDBANK location, counts for 2 xxMILITARY threats. YYY xxRIGHT Move to xxMILITARY location in xxREDBANK. All characters at this location take 1 xxBODY.","..\images\obstacles\praetorians_color.jpg"
"xxEMPIRE","xxSUMMER","Praetorians","Unit, xxSTACK","##NBSP##xxMILITARY##NBSP##",xxTACTICS,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","If at xxREDBANK location, counts for 2 xxMILITARY threats. YYY xxRIGHT Move to xxMILITARY location in xxREDBANK. All characters at this location take 1 xxBODY.","..\images\obstacles\praetorians_color.jpg"
"xxEMPIRE","xxWINTER","Forager's Cloak","Trap, Forager, xxSTACK","##NBSP##xxSORCERY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxONExxONE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODYxxBODY##NBSP##","xxOVERCOME Burn this card. If three Forager cards have been burned, unlock Yasmina.","..\images\obstacles\haunted_cloak.jpg"
"xxEMPIRE","xxSUMMER","Poison","Trap, xxSTACK","##NBSP##xxTECHNOLOGY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxTWO##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Move to location with lowest xxTHIEVERY character. All characters at this location take 2 xxBODY.","..\images\obstacles\mike_capprotti_schemes_of_the_scholar.jpg"

"xxEMPIRE","xxFALL","Prismatic Lotus","Trap, xxSTACK","##NBSP##xxSORCERY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxSIX##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODY##NBSP##","Movement from this location costs +1. YYY xxRIGHT Place xxSORCERY asset at this location.","..\images\obstacles\rogier_van_de_beek_lotus.jpg"
"xxEMPIRE","xxWINTER","Background Checks","Guard, Foe, xxSTACK","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","All guards in this location do +1 xxPSYCHE. YYY xxRIGHT Move to location with the most guards.","..\images\obstacles\sword_fighter.jpg"
"xxEMPIRE","xxWINTER","Forward Shelters","Development, xxSTACK","##NBSP##xxMILITARY##NBSP##",xxSURVIVAL,"##NBSP##xxONExxONE##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODY##NBSP##","xxOVERCOME Place 2 xxMILITARY assets a this location. YYY xxRIGHT Discard.","..\images\obstacles\winslow_homer_camp.jpg"

"xxEMPIRE","xxWINTER","Master of Secrets","Spy, Foe, xxSTACK","##NBSP##xxESPIONAGE##NBSP##xxTECHNOLOGY##NBSP##",xxCOMBAT,"##NBSP##xxTWOxxTWOxxTWO##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxOVERCOME Spend 12 xxESPIONAGE resources to unlock Lucia. YYY xxRIGHT Move to location with highest xxCOMBAT character. Characters at this location take 3 xxBODY.","..\images\obstacles\daria-rashev-rogue3.jpg"
"xxEMPIRE","xxFALL","Darkness Unmasked","Trap, xxSTARTING","##NBSP##xxDIPLOMACY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxTWO##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Move one diplomat to this location. If there is a diplomat at this location, all characters in region take 3 xxBODY. Discard.","..\images\obstacles\mysterious_actions.jpg"

"xxEMPIRE","xxWINTER","Mole Hunt","Spy, xxSTACK","##NBSP##xxMILITARY##NBSP##xxTECHNOLOGY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxTWO##NBSP##","xxOVERCOME","5","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxOVERCOME Discard any unit or guard in play. YYY xxRIGHT Remove lowest xxMILITARY from pool and discard.","..\images\obstacles\tracker_color.jpg"

"xxEMPIRE","xxFALL","Master of Secrets","Spy, Foe, xxSTACK","##NBSP##xxSORCERY##NBSP##xxTECHNOLOGY##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWOxxTWO##NBSP##","xxOVERCOME","6","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxOVERCOME Spend 12 xxSORCERY resources to unlock Lucia. YYY xxRIGHT Move to location with lowest xxLORE character. Characters at this location take 3 xxPSYCHE.","..\images\obstacles\master_secrets_dai_nguyen.jpg"




"xxREDBANK","xxSPRING","Angry Mob","Mob, Foe, xxSTACK","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Any character in this region takes 2 xxBODY.","..\images\obstacles\odinoir_angry_mob.jpg"
"xxREDBANK","xxFALL","Angry Mob","Mob, Foe, xxSTACK","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Any character in this region takes 2 xxBODY.","..\images\obstacles\odinoir_angry_mob.jpg"
"xxREDBANK","xxSUMMER","Angry Mob","Mob, Foe, xxSTACK","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Any character in this region takes 2 xxBODY.","..\images\obstacles\odinoir_angry_mob.jpg"
"xxREDBANK","xxSPRING","False Confidence","Trap, xxSTACK","##NBSP##xxTECHNOLOGY##NBSP##",xxCOMMAND,"##NBSP##xxONExxTHREE##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxRIGHT If the Empire has xxTECHNOLOGY advantage, all characters in region take 3 xxBODY. Discard.","..\images\obstacles\artificer.jpg"
"xxREDBANK","xxSUMMER","Radiant Fernbrake","Development, xxSTACK","##NBSP##xxTECHNOLOGY##NBSP##",xxSURVIVAL,"##NBSP##xxSIX##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxOVERCOME All characters at this location may set their xxBODY die to 6. YYY xxRIGHT Discard.","..\images\obstacles\radiant_fernbrake.jpg"

"xxREDBANK","xxSPRING","Bandit Camp","Foe, xxSTACK","##NBSP##xxSTABILITY##NBSP##xxMILITARY##NBSP##",xxCOMBAT,"##NBSP##xxTWOxxTHREE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxRIGHT One character in this region takes 4 xxBODY and discard.","..\images\obstacles\bandit_camp.jpg"
"xxREDBANK","xxSUMMER","Spy Unmasked","Spy, xxSTACK","##NBSP##xxMILITARY##NBSP##xxESPIONAGE##NBSP##",xxTHIEVERY,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxOVERCOME Discard any spy or guard. YYY xxRIGHT Draw one xxEMPIRE obstacle at xxEMPIRExxESPIONAGE. Discard.","..\images\obstacles\lannisport_spy_patrick_keith.jpg"
"xxREDBANK","xxSPRING","Culture Clash","Issue, xxSTACK","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Move to location with lowest xxCOMMAND character. All characters at location take 2 xxPSYCHE.","..\images\obstacles\plans_and_drinks_felicia_cano.jpg"
"xxREDBANK","xxFALL","Forager's Toad","Eldritch, Forager, xxSTACK","##NBSP##xxSORCERY##NBSP##",xxSURVIVAL,"##NBSP##xxONExxSIX##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxOVERCOME Burn card. If three Forager cards have been burned, unlock Yasmina.","..\images\obstacles\christina_hall_toad.jpg"

"xxREDBANK","xxFALL","Star-Crossed","Issue, xxSTACK","##NBSP##xxDIPLOMACY##NBSP##",xxRAPPORT,"##NBSP##xxFOURxxFOUR##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Discard lowest die from xxDIPLOMACY pool.","..\images\obstacles\james-suret-ai-star-crossed.jpg"
