region,trigger,name,tags,threats,skill,defense,overcome,difficulty,attack,bodytext,@mission_image

"xxREDBANK","xxSPRING","False Confidence","Trap","##NBSP##xxTECHNOLOGY##NBSP##",xxCOMMAND,"##NBSP##xxONExxTHREE##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxRIGHT All characters in region take xxBODY equal to xxTECHNOLOGY threat level. Discard.","..\images\obstacles\artificer.jpg"
"xxEMPIRE","xxSUMMER","Tripwire","Trap","##NBSP##xxTECHNOLOGY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxONE##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","Characters with xxTHIEVERY < 4 moving into this location take 3 xxBODY.","..\images\obstacles\tripwire_color.png"
"xxREDBANK","xxSUMMER","Radiant Fernbrake","Development","##NBSP##xxTECHNOLOGY##NBSP##",xxSURVIVAL,"##NBSP##xxSIX##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxOVERCOME All characters at this location may set their xxBODY die to 6. YYY xxRIGHT Remove lowest die in xxSORCERY pool and discard.","..\images\obstacles\radiant_fernbrake.jpg"
"xxSETTLED","xxSPRING","Zarrah","Diplomat","##NBSP##xxTECHNOLOGY##NBSP##",xxCOMMAND,"##NBSP##xxFIVExxFIVE##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT All characters in this region take 1 xxPSYCHE and may set one action die to any value.","..\images\obstacles\zarrah_color.jpg"
"xxEMPIRE","xxSPRING","Imperial Guard","Guard, Foe","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxRIGHT Move guard to xxEMPIRE location with lowest xxTHIEVERY character. All characters at this location take xxBODY equal to xxESPIONAGE threat level.","..\images\obstacles\byzantine_guard.png"
"xxEMPIRE","xxFALL","Imperial Guard","Guard, Foe","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxRIGHT Move guard to xxEMPIRE location with lowest xxTHIEVERY character. All characters at this location take xxBODY equal to xxESPIONAGE threat level.","..\images\obstacles\byzantine_guard.png"
"xxEMPIRE","xxSUMMER","Imperial Guard","Guard, Foe","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxRIGHT Move guard to xxEMPIRE location with lowest xxTHIEVERY character. All characters at this location take xxBODY equal to xxESPIONAGE threat level.","..\images\obstacles\byzantine_guard.png"
"xxSETTLED","xxFALL","Securing the Perimeter","Unit","##NBSP##xxMILITARY##NBSP##",xxSURVIVAL,"##NBSP##xxFIVExxSIX##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT All characters in region take xxBODY equal to xxMILITARY threat level.","..\images\obstacles\arrow_shot.jpg"
"xxSETTLED","xxWINTER","Costume Ball","Diplomat","##NBSP##xxDIPLOMACY##NBSP##",xxDISGUISE,"##NBSP##xxFOURxxFOUR##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHE##NBSP##","xxOVERCOME Discard one diplomat. YYY xxRIGHT Remove lowest die in xxDIPLOMACY pool and discard.","..\images\obstacles\costume_witcher.jpg"
