mission,title,task,special,category

"Necromancer of North Oaks","An Outpost in the Dark Forest","Spend 6 xxPROGRESS and 4 xxFOOD"
"Necromancer of North Oaks","Gather Supplies","Spend 7 xxPROGRESS"
"Necromancer of North Oaks","Solace for the Slaughtered Victims","Spend 8 xxPROGRESS"
"Necromancer of North Oaks","Roads and Mills","Spend 5 xxTIMBER and 3 xxORE"
"Necromancer of North Oaks","Incant a Ward Against the Deathless","Spend 5 xxMANA"
"Necromancer of North Oaks","A Kindness for the Captive Shadow","Banish the Necromancer"

"Sunriders","Pleas for Unity","Spend 6 xxPROGRESS and 3 xxMANA"
"Sunriders","Discuss the Empire's Military Strategy","Spend 5 xxPROGRESS and Advance Mission Stage"
"Sunriders","Rumors of Smoke and Fire","Spend 8 xxPROGRESS"
"Sunriders","A Great Feast","Spend 9 xxFOOD"
"Sunriders","Prepare for War","Buy a Military Development"
"Sunriders","Positive Sentiment Towards Red Bank","No Issues are in Play"

"Tragedy and Conspiracy","Breaking the Web","Burn The Weaver","Unlock and play the Weaver of Secrets when this achievement is active.","Sorcery"
"Tragedy and Conspiracy","Moment of Peace","No Violent Locals in Play",,"Stability"
"Tragedy and Conspiracy","An Eye and an Ear","No Autarch Spies in Play",,"Espionage"
"Tragedy and Conspiracy","Traces of Magic","Spend 12 xxPROGRESS",,"Sorcery"
"Tragedy and Conspiracy","Hearts and Minds","Spend 10 xxPROGRESS and 5 xxFOOD",,"Stability"
"Tragedy and Conspiracy","Intercepted Plans","Spend 8 xxPROGRESS",,"Espionage"
"Tragedy and Conspiracy","A Charm for Yasmina","Spend 6 xxPROGRESS and 5 xxFOOD",,"Sorcery"
"Tragedy and Conspiracy","Improved Infrastructure","Spend 4 xxPROGRESS and 8 xxTIMBER",,"Stability"
"Tragedy and Conspiracy","Reading the Tea Leaves","Spend 4 xxPROGRESS from the House of Lavender",,"Sorcery"
"Tragedy and Conspiracy","Recovering from Fire","Spend 4 xxFOOD and 4 xxTIMBER",,"Stability"

"Whispers at Lily Manor","Secrets Revealed","Burn Subtect","Unlock and play The Subtect when this achievement is active.","Espionage"
"Whispers at Lily Manor","The Leader's Favor","Burn Zarrah","Unlock and play Zarrah and High Society when this achievement is active.","Diplomacy"
"Whispers at Lily Manor","Quelling Rumors","No Issues in Play",,"Diplomacy"
"Whispers at Lily Manor","Silver Tongued","Spend 12 xxPROGRESS",,"Diplomacy"
"Whispers at Lily Manor","Contacts in Burgan Vale","Spend 10 xxPROGRESS and 8 xxMANA",,"Sorcery"
"Whispers at Lily Manor","When in Lily Manor","Spend 8 xxPROGRESS",,"Diplomacy"
"Whispers at Lily Manor","Wheels within Wheels","Spend 6 xxPROGRESS",,"Espionage"
"Whispers at Lily Manor","Lavish Gifts","Spend 4 xxPROGRESS and 8 xxLUXURY",,"Stability"
"Whispers at Lily Manor","Listening In","Spend 4 xxPROGRESS from the Wrenhouse",,"Espionage"
"Whispers at Lily Manor","A Night to Remember","Spend 3 xxLUXURY and 3 xxMANA",,"Diplomacy"
