character,level,@type,@picture,chance,title,text,effecta,effectb,effectc,effectd,summary

Menas,"Starting Character Card",,"..\images\characters\MENAS.png","xxNULL","Death Dealer","Have at me you bastard!","Menas may discard (not burn!) any Foes at the same location. Menas takes 2 xxBODY for each Foe discarded."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","-2","Rugged Terrain","You people have gone soft.","Add 1 to Menas's test when he is at a Wilderness location."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","-2","Rugged Terrain","You people have gone soft.","Add 1 to Menas's test when he is at a Wilderness location."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","-1","Grudging Respect","She can be so infuriating - and she's usually right.","If Thea is at the same location, make Menas Angry to remove 4 Discord from Menas's party."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","-1","Grudging Respect","She can be so infuriating - and she's usually right.","If Thea is at the same location, make Menas Angry to remove 4 Discord from Menas's party."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","+0","Call to Action","What took you so long?","You may move a character to Menas's location."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","+0","Call to Action","What took you so long?","You may move a character to Menas's location."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","+1","Contingency Plan","This will hold for now.","Take any card from the asset discard pile."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","+1","Contingency Plan","This will hold for now.","Take any card from the asset discard pile."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","+2","Cut out of Wood","Keep up.","Remove Weary condition from Menas."
Menas,"Starting Character Card",,"..\images\characters\MENAS.png","X2","Clever Trap","We can't fight directly against overwhelming odds.","May add 1 progress to any Foe at the same location or may attach this card to a Wilderness location. If a Foe would be attached to the location, may discard (not burn!) the Foe instead.",,,,"Discard Foe"

Menas,"Discord 1","..\images\pngs\backstab.png","..\images\characters\MENAS.png","-1","Shoot the Messenger","Why the ever loving fuck did you let things get so bad?","xxIMMEDIATE If Fuscus is in the same location as Menas, both Fuscus and Menas are Angry."
Menas,"Motivation 1","..\images\pngs\fire-silhouette.png","..\images\characters\MENAS.png","+1","Be Prepared","No, that was not all luck.","Gain 1 resource die of your choice. Roll die and add to pool."

Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","xxNULL","Inside Information","It wasn't my best performance, but I learned something useful.","Take 2 Discord to discard 1 hidden threat card."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","-2","Soft Pity","Fine. I hope that rigid code keeps you warm at night.","Add 2 to a test Fuscus and Thea work together on."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","-2","Soft Pity","Fine. I hope that rigid code keeps you warm at night.","Add 2 to a test Fuscus and Thea work together on."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","-1","Market Manipulations","A little of this for a lot of that. No one will notice the difference.","May reroll all dice in one resource pool."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","-1","Market Manipulations","A little of this for a lot of that. No one will notice the difference.","May reroll all dice in one resource pool."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","+0","Party Monster","My liver is angry, but my head is happy.","Make Fuscus Exhausted to remove 4 Discord from Fuscus's party."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","+0","Party Monster","My liver is angry, but my head is happy.","Make Fuscus Exhausted to remove 4 Discord from Fuscus's party."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","+1","Communal Feast","Rejoice! Rejoice! And lift your cups!","May discard (not burn!) an Issue at the same location as Fuscus."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","+1","Communal Feast","Rejoice! Rejoice! And lift your cups!","May discard (not burn!) an Issue at the same location as Fuscus."
Fuscus,"Starting Character Card",,"..\images\characters\FUSCUS.png","+2","Bad Influence","Seriously kid? You don't like wine and beautiful women? You need to stick close to me.","Add 2 to a test that Keel and Fuscus work together on."
