title,prerequisite,roll-type,skill,difficulty,success,on-success,success-condition,failure,failure-condition,result-condition,failure-tag,card-type,region
Killer Boar,,lowest,combat,1,+1 Combat,,,,wounded,,,exploration,general
Snow Cat,,highest,combat,2,+1 Combat,,,,wounded,,,exploration,general
Imperial Scouts,,group,combat,3,+1 Fortune,,,,wounded,,,exploration,general
Novice Mistake,,lowest,survival,2,+1 Fortune,,,,weary,,,exploration,general
Scouting Ahead,,highest,survival,2,+1 Survival,,,,weary,,,exploration,general
Bad Weather,,group,survival,4,TBD,,,,weary,,,exploration,general
Recalcitrant Farmsteaders,,highest,command,2,+1 Stability,,,,angry,,,exploration,general
Imperial Plans,,lowest,tactics,1,Burn One Threat,,,,shaken,,,exploration,general
Hopeless Dawn,weary,,,,,,,,,shaken,,exploration,general
Demoralized,hopeless,self,command,2,,,,Character Returns to Red Bank,,,,exploration,general
Sage Knowledge,arilde,self,survival,3,+1 Luxury,,,,weary,,,exploration,general
Trick Shot,keel,self,combat,1,+1 Fortune,,,,weary,,,exploration,general
Fear and Loathing in Sightrock,,highest,command,2,+1 Fortune,,,+1 Command,shaken,,,exploration,sightrock
Mob of Angry Settlers,,lowest,combat,1,+1 Combat,,angry,,wounded,,,exploration,sightrock
Scouring the Caves,,group,survival,3,+1 Fortune,,,+1 Lost,,,,exploration,sightrock
Following the Mana Rifts,,group,lore,2,+1 Mana,,,+1 Lost,,,,exploration,sightrock
Decipher Runes,,highest,lore,2,+1 Mana,,weary,,,,cursed,exploration,sightrock
Fight the Formless Spawn,,group,combat,5,,,+1 Stability,,wounded,,,exploration,sightrock
