index,name,region,tags,@effect1,@effect2,@effect3,texta,@location_image,developed_tags,@developed_effect1,@developed_effect2,@developed_effect3,textc,@developed_location_image,artist
1,Yearly Field,,Blighted. xxSTARTING,,,,,..\images\lands\yearly_field_extended.tif,Wilderness.,,,,YYY Characters at this location during refresh gain an extra xxINITIATIVE.,..\images\lands\yearly_field_extended.tif,
2,Eastkeep,xxEMPIRE,Keep. xxSTARTING,,,,,..\images\lands\eastkeep_extended.tif,Keep.,..\images\svgs\resource_technology.svg,,,,..\images\lands\eastkeep_extended.tif,
3,Whitehold,xxEMPIRE,Vault.,..\images\svgs\resource_espionage.svg,..\images\svgs\movement_hinder.svg,,,..\images\lands\whitehold_extended.tif,Vault.,..\images\svgs\resource_espionage.svg,..\images\svgs\resource_espionage.svg,,YYY xxCUBExxCUBE xxRIGHT Move an xxSHADOW asset from staging area to crafting area.,..\images\lands\whitehold_extended.tif,
4,Rosy Freetrader,xxEMPIRE,Tavern.,..\images\svgs\resource_technology.svg,,,,..\images\lands\rosy_freetrader_extended.tif,Tavern.,..\images\svgs\resource_technology.svg,..\images\svgs\movement_port.svg,,YYY Spend 2 xxMOVE to move to xxBOAT location.,..\images\lands\rosy_freetrader_extended.tif,
5,Boar's Rift,xxBRIGHTDUNE,Wilderness. xxSTARTING,..\images\svgs\resource_military.svg,,,,..\images\lands\boars_rift_extended.tif,Fort.,..\images\svgs\resource_military.svg,,,YYY Add xxHINDRANCExxHINDRANCE when Unit moves into this location.,..\images\lands\boars_rift_extended.tif,
6,Giant's Gate,xxBRIGHTDUNE,Urban. xxSTARTING,..\images\svgs\resource_stability.svg,,,,..\images\lands\giants_gate_extended.tif,Urban.,..\images\svgs\resource_stability.svg,..\images\svgs\movement_port.svg,,YYY Spend 2 xxMOVE to move to xxBOAT location.,..\images\lands\giants_gate_extended.tif,
7,Boar's Peak,xxSETTLED,Wilderness. xxSTARTING,..\images\svgs\resource_military.svg,..\images\svgs\movement_hinder.svg,,,..\images\lands\boars_peak_extended.tif,Wilderness. Fort.,..\images\svgs\resource_military.svg,,,YYY Add xxHINDRANCExxHINDRANCE when Unit moves into this location.,..\images\lands\boars_peak_extended.tif,
8,Loomwood,xxBRIGHTDUNE,Rural. Farms.,,,,YYY May muster xxTECHNOLOGY at this location.,..\images\lands\loomwood_extended.tif,Rural. Farms.,..\images\svgs\resource_stability.svg,,,YYY May muster xxTECHNOLOGY at this location.,..\images\lands\loomwood_extended.tif,
9,Gelshah's Tower,xxBRIGHTDUNE,Blighted.,..\images\svgs\movement_portal.svg,,,YYY May muster xxMAGIC at this location. Spend 1 xxBODY or 1 xxPSYCHE to move to xxPORTAL location.,..\images\lands\gelshahs_tower_extended.tif,Wilderness. Enchanted.,..\images\svgs\resource_magic.svg,..\images\svgs\movement_portal.svg,,YYY Spend 1 xxMOVE to move to xxPORTAL location.,..\images\lands\gelshahs_tower_extended.tif,
10,The Obfuscated Bribe,xxBRIGHTDUNE,Urban. Winehouse.,,,,YYY May exchange xxBODY for xxPSYCHE.,..\images\lands\obfuscated_bribe_extended.tif,Urban. Winehouse.,..\images\svgs\resource_espionage.svg,,,YYY xxCUBExxCUBE xxRIGHT Recover 1 xxPSYCHE.,..\images\lands\obfuscated_bribe_extended.tif,
11,Pearlescent Marsh,xxBRIGHTDUNE,Wilderness. Enchanted.,..\images\svgs\movement_portal.svg,,,YYY May muster xxMAGIC at this location. Spend 1 xxBODY or 1 xxPSYCHE to move to xxPORTAL location.,..\images\lands\pearlescent_marsh_extended.tif,Wilderness. Enchanted.,..\images\svgs\resource_magic.svg,..\images\svgs\movement_portal.svg,,YYY Spend 1 xxBODY or 1 xxPSYCHE to move to xxPORTAL location.,..\images\lands\pearlescent_marsh_extended.tif,
12,Golden Hills,xxSETTLED,Rural. Enchanted.,,,,YYY May muster xxMAGIC at this location.,..\images\lands\golden_hills_extended.tif,Rural. Enchanted.,..\images\svgs\resource_military.svg,..\images\svgs\movement_portal.svg,,YYY May muster xxMAGIC at this location. Spend 1 xxBODY or 1 xxPSYCHE to move to xxPORTAL location.,..\images\lands\golden_hills_extended.tif,
13,Hogeltown,xxSETTLED,Rural. Hall.,..\images\svgs\resource_diplomacy.svg,,,,..\images\lands\hogeltown_extended.tif,Rural. Hall.,..\images\svgs\resource_diplomacy.svg,..\images\svgs\resource_diplomacy.svg,,YYY xxCUBExxCUBE xxRIGHT Recover 1 xxBODY.,..\images\lands\hogeltown_extended.tif,
14,Lily Manor,xxSETTLED,Hall.,..\images\svgs\resource_diplomacy.svg,,,,..\images\lands\lily_manor_extended.tif,Urban. Hall.,..\images\svgs\resource_diplomacy.svg,..\images\svgs\resource_espionage.svg,..\images\svgs\movement_port.svg,YYY Spend 2 xxMOVE to move to xxBOAT location.,..\images\lands\lily_manor_extended.tif,
,Arankh,xxSETTLED,,,,,,,,,,,,,
,Guild of Secrets,xxEMPIRE,,,,,,,,,,,,,
,Desolation,xxBRIGHTDUNE,,,,,,,,,,,,,
,Desolation,xxBRIGHTDUNE,,,,,,,,,,,,,
,Brightdune Bay,xxBRIGHTDUNE,,,,,,,,,,,,,
,The Long Wastes,xxBRIGHTDUNE,,,,,,,,,,,,,
,Sundered Crag,xxBRIGHTDUNE,,,,,,,,,,,,,
,House Lavender,xxBRIGHTDUNE,,,,,,,,,,,,,
,The Obfuscated Bribe,xxBRIGHTDUNE,,,,,,,,,,,,,
,Sightrock Keep,xxBRIGHTDUNE,,,,,,,,,,,,,
,The Weird Rock,xxBRIGHTDUNE,,,,,,,,,,,,,
,Amaranth Bourne,xxBRIGHTDUNE,,,,,,,,,,,,,
,Mirror Woods,xxBRIGHTDUNE,,,,,,,,,,,,,
,Cyclabrary,xxBRIGHTDUNE,,,,,,,,,,,,,
,Amber Trade Fair,xxBRIGHTDUNE,,,,,,,,,,,,,
,Gelshah's Tomb,xxBRIGHTDUNE,,,,,,,,,,,,,
,Sunbridle Bay,xxBRIGHTDUNE,,,,,,,,,,,,,
,The Throne Room,xxEMPIRE,,,,,,,,,,,,,
,House of Copper,xxEMPIRE,,,,,,,,,,,,,
,Guild of Scribes,xxEMPIRE,,,,,,,,,,,,,
,Guilder Farms,xxEMPIRE,,,,,,,,,,,,,
,Firstborn Peak,xxEMPIRE,,,,,,,,,,,,,
,Dawncaves,xxEMPIRE,,,,,,,,,,,,,
,Southkeep,xxEMPIRE,,,,,,,,,,,,,
,Ma Bonnie's Squidery,xxEMPIRE,,,,,,,,,,,,,
,Prominence,xxEMPIRE,,,,,,,,,,,,,
,Guild of Strategy,xxEMPIRE,,,,,,,,,,,,,
,Desolation,xxSETTLED,,,,,,,,,,,,,
,Crow Manor,xxSETTLED,,,,,,,,,,,,,
,Aren's Forge,xxSETTLED,,,,,,,,,,,,,
,Dusk's Ayrie,xxSETTLED,,,,,,,,,,,,,
,Animaelic Forest,xxSETTLED,,,,,,,,,,,,,
,Beetle Burrough,xxSETTLED,,,,,,,,,,,,,
,Hall of Brass,xxSETTLED,,,,,,,,,,,,,
,Goldspike,xxSETTLED,,,,,,,,,,,,,
,Brassport,xxSETTLED,,,,,,,,,,,,,
,Shimmerhall,xxSETTLED,,,,,,,,,,,,,
,Lower Wash,xxSETTLED,,,,,,,,,,,,,
,Wrenhouse,xxSETTLED,,,,,,,,,,,,,
