name,year,requirement,reward1,reward2,flavor1,flavor2,flavor3,flavor4,setup1,setup2,scene1_name,scene1_detail1,scene1_detail2,scene1_detail3,scene2_name,scene2_detail1,scene2_detail2,scene2_detail3,scene3_name,scene3_detail1,scene3_detail2,scene3_detail3,scene4_name,scene4_detail1,scene4_detail2,scene4_detail3,pass_text1,pass_text2,pass_text3,pass_text4,pass1,pass2,pass3,pass4,fail_text1,fail_text2,fail_text3,fail_text4,fail1,fail2,fail3,fail4,espionage_threat,military_threat,diplomacy_threat,stability_threat,sorcery_threat,@image
The Blue Robe,Year 1,Starting Scenario,Increase xxSORCERY resource level.,Lower xxDIPLOMACY threat level.,"Menas entered Elisa's council chambers at Arankh, immediately spotting a young woman reading an incomprehensibly large tome. She barely glanced up when he approached. 'On swift hoof I have arrived. Where is Elisa?' he said.","'Yeah, hi! Elisa is out for a bit. But I can help you! We received your message - and yes, you've got big problems! I sure wouldn't want to live in Brightdune right now. You understand the aetheric side effects of transwilderness channeling, correct? And the implications for a military assault west of Boars Pass?'","Menas stared blankly back at the young, perky face rambling at him. She barely stopped for breath between words. All he could think of was the way Keel spoke when Menas made the horrible mistake of asking him about his latest gadget.","'...and so, under no circumstances should you head into Gravewood without an abjurative elm root. By the way, I'm Yasmina, not sure if I said that, so each time you...'",Place Legionary obstacle at xxEMPIRE fort.,xxSPECIAL Place Order of the Blue Robes obstacle at xxSETTLEDxxSORCERY., 5/xxPLAYER Reception for Eliza xxRAPPORTxxDIPLOMACY,"Make a good impression on Eliza, the leader of the Order of the Blue Robes. Which character most impresses Eliza?",Location: Hall,Play Eliza obstacle at scene location.,10/xxPLAYER Research Arcane Lore xxLORExxSTABILITY,Yasmina helps with magical lessons. What is Yasmina most concerned about?,Location: Urban,,15/xxPLAYER Follow Ley Lines xxSURVIVALxxSORCERY,Track the Autarch's sorcerous plans by following magical energies. What treacheries are encountered?,Location: Eldritch,,,,,,"Menas stared straight ahead, the weeks of study taking their toll. He chose his words carefully. 'So,' he started hesitantly, '...a ferric loop fuses with radiant fernbrake or lunar whisps by sympathetic invocation.'","'And?' Yasmina asked, looking on with a mix of excitement and anticipation.","'And. And, when applied in a radic cone, can reinforce our the loops of our chainmail?' Menas completed, a smile growing on his face.","'Yes!' Yasmina exclaimed, jumping to her feet. 'Well, it's actually a radic sphere, which should make sense if you remembered Undari's third lemma, but good job! And now we're through page five.'",Add Eldritch location to map.,,,,"Elisa addressed the envoys from Brightdune. 'Over these past months, you have learned all you can about the dangerous predicament we find ourselves in. And after some discussion among the order, we can clearly say you have no business meddling with the forces magic.'",'We will handle that responsibility from now on. It was silly of us to try to teach you - you are too far behind.',,,Lower xxSORCERY threat level.,,,,7 xxESPIONAGE Wound any unlocked character.,6 xxMILITARY Place War Machine obstacle at xxEMPIRE fort.,6 xxDIPLOMACY Increase xxSTABILITY threat track.,6 xxSTABILITY Increase xxESPIONAGE threat track.,5 xxSORCERY Place Animaelic Echoes obstacle at any Eldrtich location.,
Friends in High Places,Year 1,Year 2+,Increase xxDIPLOMACY resource level.,Add xxSETTLED port location.,"Hogel rubbed his temples, nursing a hangover, before turning back to Fuscus.","'Listen Fuscus,' Hogel said quietly. 'I understand you want to use our ports. And I can introduce you to the right people.'",'But one hand washes the other. We're already helping with patrols into the Mirror Woods. And you haven't been by in quite some time to look at my horses. Tell me you haven't found someone else?',"'Hogel! How long have I known you? I'm insulted - of course I haven't found someone else. When I think of smelly horses, you're the first person that comes to mind. But before all that, we drink!'",Place War Machine obstacle at xxEMPIRE fort.,xxSPECIAL Place Lost in Translation obstacle at xxSETTLEDxxTECHNOLOGY.,10/xxPLAYER Entertain Hogel xxRAPPORTxxDIPLOMACY,Party for Hogel! Food and drink and hopefully no fights.,Location: Hall,Play Hogel obstacle at scene location.,20/xxPLAYER Ranging the Wilds xxCOMBATxxSTABILITY,There is all manner of terrible beast and trap in the wilds. What is encountered?,Location: Wilderness,,,,,,,,,,"Fuscus sneezed loudly. He didn't particularly care for horses. They gave him allergies, and if they went too fast it mussed his hair. Hopefully Thea understood the kind of sacrifices he was making for Brightdune.","'Okay Hogel, we'll take this lot, and we'll look at that bunch over there. And I'm sure you wouldn't mind if we use your ports at Goldspike?'",,,Add Settled Lands port location to map.,,,,"Hogel smiled. 'Well Fuscus, you reap what you sow. If we can't do a simple deal here, then there's no reason the Sunriders need to help Brightdune in Mirror Woods. Clearly you can do that yourself.'",'Hope you have some sharp swords...',,,Add Mirror Woods location to map.,,,,4 xxESPIONAGE Activate or move all units.,6 xxMILITARY Place War Machine obstacle at xxEMPIRE fort.,6 xxDIPLOMACY Increase xxSTABILITY threat track.,6 xxSTABILITY Increase xxESPIONAGE threat track.,5 xxSORCERY Place Animaelic Echoes obstacle at any Eldrtich location.,"..\images\ai_lands\brass buildings, for dungeons and dragons, in the style of william-adolphe bouguereau and erol otus 8_57 70 28914.png"
Forager's Curiosity,Sorcery 2,Year 2+,,,"Keel moved through the Pearlescent Marshes, his crossbow at the ready, eyes darting over the treetops. The leaves rustled above, and he managed to follow behind, tracking whatever was up there's trail. He stopped and aimed.","'Haha!' a female voice said from above, the suddeness making Keel stumble back and fall right on his backside. 'I knew my tome was around here somewhere. Let's see, where is it...'","The book attached to Keel's belt glowed blue suddenly, a ringing echoing through the trees. A young woman dropped out of the trees and nearly fell flat on her face, but a pillow of air caught her and set her upright. A magic user?","'Uh, hi,' Keel said, reaching for the book. 'I think this might belong to you.'",Place Animaelic Echoes obstacle at any Eldritch location.,,xxSORCERY  /  xxSPECIAL xxSORCERY,,,"After completing progress, xxOVERCOME the following in sequence: Forager's Tome (xxSETTLEDxxSORCERY), Forager's Turtle (xxBRIGHTDUNExxSORCERY), and finally Forager's Cloak (xxEMPIRExxTECHNOLOGY).",,,,,,,,,,,,,"'There, see?' Yasmina held up her tome, Sir Turtlesworth standing on top and looking very confused. 'Got my tome, my turtle, and my cloak, all accounted for. See, I know what I'm doing with magic! Can't you tutor me now?'","'I see,' Elisa said, looking Yasmina over with amusement in her eyes. 'You did this all by yourself?'","As long as Yasmina ignored how much Keel helped, then yes. 'Yeah, all by myself. So you can tutor me, right?'","She still owed Keel, though. Maybe after a bit more tutelage, Yasmina could make a quick trip to Brightdune to help them out.",xxDOT Unlock Yasmina.,xxDOT Shuffle Elisa into xxSETTLED deck.,,,"The elders stood above a cowering Yasmina, who was trying to hide behind her ratty cloak, holding Sir Turtlesworth against her chest. He still remained curled up tight in his shell, the runes on his back glowing with waning magic.","'So,' an elder said. 'You have managed to enchant a turtle, make the turtle disappear, and reappear in Brightdune where it exploded with magic and made so much plant life it filled a store with vines?'","'No one was hurt!' Yasmina protested, but that only earned her a glare. Her shoulders drooped. 'I'm sorry, elders. It won't happen again.'","'I should certainly hope not,' the elder said. 'Now we must send assistance to Brightdune to combat the magical chaos you created. You are quite a handful, Yasmina.'",xxDOT Unlock Yasmina.,xxDOT Lower the xxSORCERY threat track by two.,,,,,,,,
Honest Days Work,Year 1,Year 2+,Add Obfuscated Bribe location in xxBRIGHTDUNE.,Fuscus gains SMUGGLER downtime action.,"'Thea, I have no idea what you're talking about. I don't run a drug den called The Obfuscated Bribe. Besides, the dangerous effects of starsalt are overstated,' Fuscus replied with a smirk.","'Overstated! Look at Farmer Snog Butt over there - he looks like the victim of a mana forge accident! Shut. It. Down.' Thea knew better than to argue with Fuscus like this, but she had to try. Having a drug den operating within Guilder Farms was the last thing anyone needed, much less one affiliated with The Amber Hand.","Thea continued, 'We need the people here focused on farming, not on sanity blasting drugs.' Fuscus grinned broadly at her, and she felt her stomach sink.",,Place Rousing Speech obstacle at xxBRIGHTDUNExxMILITARY.,xxSPECIAL Place The Amber Hand obstacle at xxBRIGHTDUNExxSTABILITY.,Delivery: Touring the Dunes,"10/xxPLAYER, Deliver to any matching xxBRIGHTDUNE location",,,xxESPIONAGE Scene: Get Farmer Snog off Starsalt,Place Amber Hand obstacle at xxBRIGHTDUNExxSTABILITY.,Location: Any Rural xxBRIGHTDUNE,"10 xxPROGRESS/xxPLAYER, Favored xxASSET: None",,,,,,,,,"'Everyone. All of you! It's done. Over. All closed up,' Fuscus said, to no one in particular. The motley crew of outcasts sitting around The Obfuscated Bribe looked back at Fuscus with mild shock and confusion.","'Don't look at me that way, it's not as if this should be a surprise. You all took it too far! Seriously, Snog Butt, you do actually need to harvest crops. Anyway, this won't be permanent. And I will keep my contacts for those with more discretion.'",,,xxDOT Place Amber Trade Fair location on any xxBRIGHTDUNE slot.,"xxDOT Will Fuscus continue smuggling? If so, increase the xxSTABILITY threat track by one, add Starsalt to xxBRIGHTDUNE obstacle deck, and Fuscus gains the SMUGGLER campaign action.",,,"Fuscus looked with pride at what he had created - a place where people could truly be themselves and live carefree. Vastly important in these dark times, regardless of what Thea said. And no starsalt. Mostly.",,,,xxDOT Place Obfuscated Bribe location on any xxSETTLED slot and place the Clove and Minx obstacle at Obfuscated Bribe,xxDOT Give Fuscus the SMUGGLER tag and add Starsalt obstacle card to xxBRIGHTDUNE obstacle deck.,,,,,,,,
Imperial Seafood,Year 2,Year 2+,Increase xxESPIONAGE.,Add Ma Bonnie's Squidery location in xxEMPIRE.,"Prominence's quayside trading markets were reserved and understated, merchants and patrolling guards looking at each other with suspicious eyes. Keel and Fuscus moved carefully down the cobblestone street, looking for a good out of the way site from which to conduct operations.","Fuscus wore Imperial finery, his maroon cloak festooned with a gray diamond clasp marking him as a freeguilder. Keel was dressed in the stark white of a Priest of The Harrowing, the secretive order which selects a new Autarch. Keel looked down at Fuscus. 'I'm telling you Fuscus, this is genius. No one would ever suspect such a high ranking member of Imperial society was a spy!'","Fuscus glanced around before responding. 'It's bold, I'll give you that. But you do remember we're trying to set up a botique seafood supplier? Why would a Priest of the White be out trying to secure a mark of trade for squid?'","'Fuscus, you most of all should know everyone needs to eat!'",Place Background Checks obstacle at xxEMPIRExxTECHNOLOGY.,xxSPECIAL Place Imperial Secrets obstacle at xxEMPIRExxESPIONAGE.,xxSORCERYxxESPIONAGE / xxSPECIAL xxTECHNOLOGY,,,,,,,,,,,,,,,,"Fuscus held his breath before slipping the encoded message into the slime-filled body of the squid. Fighting back nausea, he swiftly carried it to the storefront.","The plain-dressed woman smiled as he held out the squid to her. 'Thank you for choosing Ma Bonnie's,' Fuscus said with a wink. 'We know you have choices when it comes to your selection of a squidery, and our goal is to give you the best product at the best price, no strings attached.'",,,xxDOT Place Ma Bonnie's Squidery location on any xxEMPIRE slot.,,,,"Oh great Keeper of Mystical Secrets, do not sully your hands at a market. There is no place for you here. And if I have my way, you will never live a life of toil here.' The guard kept his arm around Keel's shoulder, pulling him gently down a side alley.","Ah, here we are. You'll like it better here.' Keel swallowed hard and kept his head bowed, following the guard into the smokey tavern.","Normally The Rosy Freetrader is just for guards here in Prominence, but having a Harrow Priests are always welcome!'","Keel looked around. Although the fishmonger was off the table, there seemed to be plenty of secrets available here as well.",xxDOT Place Rosy Freetrader location on any xxBRIGHTDUNE slot.,,,,,,,,,
Oath of the Hawkleader,Year 2,Starting Mission,Increase xxMILITARY.,Menas gains HUNTER downtime action.,The pale leafless branches struggled to grasp the steam from Samo's low-sun stew. His strong hands poured another bowl for his guest from warmer climes.,"'Menas,' Samo continued, 'I speak for Gravewood when I say your words land on friendly ears. Yet, ranging the Long Wastes is not a calling for faint heart and weak will. A march in the wilds has broken many an oath. The dead no longer sleep, the great wyrm Drauga roams, and even the Weaver still spins his fateful web.'",Menas grasped the hilt of his sword before responding. 'Samo. I swear on the souls of the Hawk Legion I will not fail. Lest their deaths be for nothing and my memory is but a curse uttered against the most loathsome.',,Place Samo obstacle at xxSETTLEDxxDIPLOMACY.,xxSPECIAL Place Northern Patrol obstacle at xxSETTLEDxxTECHNOLOGY.,xxDIPLOMACYxxMILITARY  /  xxSPECIAL xxMILITARY,,, ,,,,,,,,,,,,,The haggard veterans of another long campaign straggled in a line behind Menas and his steed. The wear of the rugged terrain and unforgiving weather had taken its toll.,"Menas turned to his retinue, addressing them in a confident voice. 'Heads up! We will soon be home! And when we arrive, we can rest easy, knowing we have served our kith and kin well. I'm proud of each of you.'",,,xxDOT Menas gains the HUNTER campaign action.,,,,"Menas rode on, replaying the setbacks over and over. All of the things that could go wrong had gone wrong. A cold driving rain pierced his cloak, chilling him to the bone.","'Menas! It is time to give up - let us voyage home.' One of the riders behind him called out, echoing a sentiment that was spreading through the unit. 'We should cut our losses now.'","Menas shot a glance back before responding, 'Have we fulfilled our oath and our duty?' Blank stares greeted his question before he continued, 'No. We have not. So we ride on.'",,xxDOT Place The Long Wastes location on any xxSETTLED slot.,xxDOT Lower the xxMILITARY threat track by two.,,,,,,,,
The Enemy Within,Year 3,,,,"Lanterns provided only dim light in the cold cellar where Raliark and Thea planned in secret. Raliark pulled his gray cloak tight before responding to Thea. 'I appreciate the sentiment, Thea, and the offer of help. To be blunt, though, we are acutely aware of the dangers posed by the Autarch's deranged plan. We live that danger daily. My lady in the Guild of Scribes is also aware, and I am fully authorized to speak for her.'","'I meant no offense Raliark,' Thea replied quietly. 'But surely you can see that coordinating our efforts would be much more effective than acting alone? We would like to invite Tatiala to Brightdune, and work together to overthrow this regime.'","Raliark's voice raised slightly before responding. 'No, I do not see that at all. Coordination also brings about risk. And while you can flee back to relative safety within your own borders, my allies must stay here with their families.'","'Yes, Raliark, I can't imagine what you've been through. But we are building our own network here as well. And I will again extend our offer to help in any way possible.'",Place Encoded Plans obstacle at xxEMPIRExxMILITARY.,,xxESPIONAGExxSTABILITY /  xxSPECIAL xxESPIONAGE,,, ,,,,,,,,,,,,,"The slight figure hesitantly pulled back the hood of her cloak, stepped forward and kissed Thea briskly on the lips before offering a greeting. 'Well met, Thea, Speaker for the East. I am Tatiala. Welcome to Awn.'",Thea smiled in return. 'No Empire of the Autarch?',"'No. That is not a name that gives us pride,' Tatiala replied.","Thea nodded in acknowledgement. 'Brightdune appreciates your offer to meet. I know your time is busy and your challenges are legion. But we can provide support. We are building a network of agents, and we have means to smuggle supplies and information into the Empire. Allow me to show you our current efforts, and see where we might work together.'",THE RESISTANCE: Do not discard xxESPIONAGE assets when used for xxOVERCOME progress. Must discard as normal when used for xxOVERCOME reaction pool.,,,,"Tatiala hovered over the novice, watching his writings closely. 'Just remember who you serve! These writings are for the Autarch, blessed is her place. Rumors of a resistance are lies created by our enemeis. Brightdune has no allies. We must invade for their own good as well.'","The young man paused in his writing, began to speak, then thought better of it and picked up his pen.",Tatiala smiled briefly. 'Is there something you wish to say? Surely you don't see any reason to question the Autarch?',,xxDOT Place Guild of Scribes location on any xxEMPIRE slot.,xxDOT Lower the xxESPIONAGE threat track by two.,,,,,,,,
Longstanding Traditions,Year 3,,,,"Thea? And someone from the settled lands? Maybe a dispute about who should take what roles in society, or how those roles inform each faction? This could also be related to something Fuscus is doing.",,,,Place Wrenhouse location on any xxSETTLED slot.,xxSPECIAL Place Appease The Old Ones obstacle at the Wrenhouse.,xxSTABILITY / xxSPECIAL xxDIPLOMACY,,,"After completing progress, xxOVERCOME Egalitarian Society (xxBRIGHTDUNExxSTABILITY).",,,,,,,,,,,,,pass_text_tbd,,,,xxDOT Thea gains the STRATEGIC PLANNING campaign action.,,,,fail_text_tbd,,,,xxDOT Lower xxSTABILITY threat track by two.,,,,,,,,,
Chosen of Brightdune,Year 4,,,,"Thea, Menas, Support, Military. Quite a bit of screen time for Thea so far. This one maybe should focus on Menas. Or perhaps an effort involving both of them.",,,,Play Sightrock Keep location on xxBRIGHTDUNExxMILITARY and Territorial Dispute obstacle at xxBRIGHTDUNExxSTABILITY.,xxSPECIAL Place Doom Under Sightrock obstacle at Sightrock Keep.,xxSTABILITYxxMILITARY  /  xxSPECIAL xxSTABILITY,,, ,,,,,,,,,,,,,pass_text_tbd,,,,UNCONDITIONAL SUPPORT: May use xxSTABILITY resource dice directly against xxSTABILITY or xxDIPLOMACY schemes.,,,,fail_text_tbd,,,,xxDOT Lower xxMILITARY threat track by two.,,,,,,,,,
Parting the Veil,Year 4,,,,"When the world was young and the first tribes emerged from the Dawncaves, some among them wove the strands of fate into a tapestry. Written into the tapestry was a repeating cycle of death and rebirth. Oniri knew that part well, but had forgotten the reason weavers bothered with such things. Not that it mattered to Oniri. Humans couldn't change their nature.","Yet. Some part of Oniri's past called out with echoes from the dawn of knowledge. The pattern bore preserving, and Oniri was an instrument of its will.","Oniri moved quietly through the desolate cave, memories flooding black. They found the Autarch's threads channeled out far to the north. Towards the first forest, harnessing the psychic maelstrom.","Oniri moved their skeletal hands over the sorcerous veil. The raw mana could be changed into many forms, perhaps even used to restore the balance. Not that it mattered, but Oniri was strangely compelled.",Place Dawncaves location on any xxEMPIRE slot.,xxSPECIAL Place Animaelic Echoes obstacle at xxBRIGHTDUNExxSTABILITY and The Weaver obstacle at xxSETTLEDxxSORCERY.,xxSORCERYxxSORCERY  /  xxSPECIAL xxSTABILITY,,,,,,,,,,,,,,,,Oniri's eyes glowed in the darkness of the cave. The threads of magic reflected and cast out again in countless directions.,"'This will help, though you don't remember why, do you,' Oniri said to no one in particular.",,,TRANSMUTATION: Ignore resource type on progress cards for xxSORCERY assets. Must still match value.,,,,"Alda ran quickly up the stairs of Arankh, bursting through the door into the prismatic orrery. Elisa, startled, turned away from the initiates she had been conversing with. 'Alda, dear, did you feel it as well?'",The planets spun above Alda's head as she considered her reply. 'I should have known. What's causing this? What should we do?',"'We were just discussing that. Someone is being very careless. But this might not be what it seems. There are strong forces channeling against each other. We may need to open the Shimmerhall, and move quickly to the source. Perhaps we can put things right.'",,xxDOT Place Shimmerhall location on any xxSETTLED slot.,,,,,,,,,
