title,location,skill,points,prologue1,prologue2,prologue3,prologue4,prologue5,prologue6,challenge1,challenge2,challenge3,challenge4,challenge5,epilogue1,epilogue2,epilogue3,epilogue4
Find the Source of the Gasping Spores,xxBRIGHTDUNE Brightdune. xxSTARTING,xxLORE,4,"Ruark wheezed, those parts of skin still exposed bearing some semblance to a molting hill goat. Bits of flesh hung loosely from his face and boils ran rampant across his body.","The farmer from Loomwood whispered riddles before his throat fully closed up, 'The spores drifted into Loomwood yesterday, near the Pearlescent Marsh. The prophecy of Banuk's Brown Book has passed. The spirit of the swamp curses us!'","An older woman steps forward from the band of settlers, her words colored by fear, 'We can't live like this! Too many lives lost! Where is this blight coming from?'",,,,The small yellow spores are difficult to see,Pattern of infections within Loomwood seem related to lunar cycles,Mana rifts flow from the marsh,,,"Suddenly, the marsh rises up before you in a whirling mass of debris. A voice echoes through your thoughts, 'Do not disturb the marsh or we will consume you!' Will you stay in Loomwood or pull the farmers back to Giant's Gate?","Stay: xxBRIGHTDUNE Loomwood, xxOBSTACLE Ur-Akti, xxOBSTACLE Yellow Blight, xxSCENE Disperse Riots in Loomwood.","Abandon: xxBRIGHTDUNE Pearlescent Marsh, xxOBSTACLE Grain Shortage, xxSCENE Answer Scorpion-Tail's Riddle.",
Retrieve the Owner of a Thousand Horses' Horses,Wilderness. xxSTARTING,xxSTEEL,5,"Kanun sighed before replying, 'Fuscus, these are no common ponies. These are great steeds, destriers of thunder, accompanied by the legendary charger Murjan. Put aside your petty jealousies of Hogel. So he threw an extravagant party and didn't invite you, so what? Who cares about wearing stuffy clothes, drinking rare wine, and dancing?'","Fuscus stared back at Kanun in disbelief. 'Kanun, those are the only things to care about!'","Kanun continued unimpeded, 'Recovering these horses would win favor with the Sunriders. How hard can it be to find a herd of horses?'",,,,"The horses have splintered into small bands, roaming onto different grazing lands",Bandits cover the horses tracks and fire arrows at trackers from high ridges,"Murjan stands proud over the other horses, running swift and unbroken",,,"The Owner of a Thousand Horses closed the horse pen behind him. 'We thank you for recovering most of our horses! Murjan still roams free, but that horse was always more trouble than it was worth. Brightdune is always welcome at my manor! Even Fuscus.'","xxSETTLED Hogeltown, xxOBSTACLE Hogel's Jealousy, xxOBSTACLE Horse Bandits, xxASSET Hogel, xxASSET Murjan, xxSCENE Help Hogel Woo Pox Face.",,
Persuade the Satrap to Guard the North,Urban. xxSTARTING,xxCOMMAND,5,"Parin sat back down on her poshti, resigned to hearing out the satrap's diatribe on defending the ports. Once he hit full stride, he was difficult to reason with.","Where the satrap got this idea that the Empire would attack by sea, Parin had no idea. Certainly not from Zeno, Metrodora, or any of the rest of Brightdune's spies. Their suggestions were unanimous: prepare for an attack through Boar's Rift.","It would require delicate maneuvering to get resources where they needed to be. Delir, commander of the Jasper Cataphract, glanced at Parin and rolled his eyes, 'Maybe stuffing him full of food would help?'",,,,The satrap is stubborn and fearful,Morale amongst the War Council is low,The satrap has his own desires and pet projects: to build a marble statuary on palace grounds,,,"The satrap stood abruptly, walking away while shouting, 'Very well! Very well! Enough prattle! Waste your time in the north, and if they strike by sea, the deaths of the innocents will be on your heads.'","xxDEVELOPED Develop Boar's Rift, xxASSET Delir, xxOBSTACLE Allocating Funds.",,
Take Second at the Amber Wine Drinking Game,Giant's Gate. xxSTARTING,xxSTEEL,6,Kanun frowned. Winning this contest would be as easy as lassoing one of Horsemaster Babak's broken down mares.,However! Parin wanted to lose to Rastag of the Amber Hand but somehow also defeat the Iron Cypress. That task sounded more challenging than lassoing the Dusk Hydra!,And why such confusing political maneuvers? Why not just win outright?,"Still, Parin had a sense about these things. And she was certain raising up Rastag would secure aid from the surrounding Amber Hand farms.",But... Rastag? Really? Rastag!,,"The Iron Cypress is known to do whatever it takes to win, regardless of the rules and regardless of the consequences",Amber Wine causes pronounced drowsiness in the imbiber,Rastag weighs 93 pounds,,,"Iron Cypress looked around in disbelief, unable to comprehend the events that just transpired. Rastag raised his hands, then collapsed to the ground, vomiting terribly.","xxDEVELOPED Develop Giant's Gate, xxASSET Amber Wine.",,
Decipher Gelshah's Scroll,Urban. xxSTARTING,xxLORE,4,'...and he buried them in the earth! But why would he do such a thing?' Kanun asked.,"'Have you not been listening?' Yasmina said. 'In the end, Gelshah's pride bound him to the daeva. And together they desecrated the corpses, corrupting the earth and placing a death curse on his tower.'",'So this scroll will allow us to access the tower somehow? What language is this?',"'These marking indicate a polylinguistic cypher, referencing a series of important historical writing that can be synthesized to solve it!' Yasmina said, working herself up into a frenzy. 'Let's get started!'",'And is it a problem if I can't read?',"'Uh, yes. Yes, that will make things trickier.'",The most ancient tomes are locked with runes of Forbidden Nightmares,"Others texts are nothing more than fragments, having been eroded or written over for future uses","The texts are written in ancient languages, some of them no longer spoken",,,"The scroll shutters and comes to life, unlocking the wards which have sealed Gelshah's Tower for centuries. The tower is unlocked from without... and within, releasing whatever had been buried there.","xxBRIGHTDUNE Gelshah's Tower, xxOBSTACLE Restless Dead, xxOBSTACLE Restless Dead, xxSCENE Steal Gelshah's Heart, xxASSET Yasmina.",,
Find the Mad Honey Supplier,xxBRIGHTDUNE Brightdune. xxSTARTING,xxSHADOW,5,"'Parin, I have no idea what you're talking about. Besides, I've heard the negative effects of Mad Honey use are overstated,' Fuscus said with a smirk.","'Overstated! Have you met Farmer Snog Butt lately? He speaks only in riddles! He sounds like scorpion-tail! We need to figure out where this stuff is coming from,' Parin replied.","'Yes, okay, fine,' Fuscus said with a sigh. 'Let me ask around. Then we need to find someone up to the task of finding the supplier.'",'Couldn't you do that?' Parin queried.,"'I mean... could I? Yes, I could. But would I? It sounds tedious. What's Keel up to?'",,The Mad Honey seems to originate from a remote trading hall called The Obfuscated Bribe,Entering the hall requires a referral from a member,"It is rumored that Farokh the weaver is a member in good standing, but he lives a comfortable life and is difficult to bribe",,,"The Mad Honey is being dealt out of the Obfuscated Bribe by The Sparkling Plum, an enigmatic figure who no one seems willing to identify.","xxBRIGHTDUNE Obfuscated Bribe, xxASSET Mad Honey, xxOBSTACLE Mad Honey Addiction, xxSCENE Cut Off the Mad Honey Supply.",,
Feed the Lyric Stone to the Dusk Hydra,xxSETTLED Settled Lands. xxSTARTING,xxCHARM,4,"'If we feed it this old rock with the faces on it, the flooding in the Golden Hills will stop? Weird. Also, what kind of hydra only has two heads?' Fuscus asked.","Yasmina attempted to respond, 'It's not a rock, and it doesn't have two heads, it's...'","'Well, it looks like a rock!' Fuscus said. 'Bolat is going to owe us for this one. You know, I don't think I've ever talked to a hydra. There was this lavender dragon once. But they're annoying. No class at all. And this hydra, what, just makes you feel bad about yourself? Fat chance of that. I'm amazing.'",'...two dragons.' Yasmina said to no one in particular.,,,"One head is ferocious and golden yellow, the other ghostly white",The golden mouth speaks scathing words,The ghostly mouth is cold and calculating,One must be soothed while the stone is secretly fed to the other,,The Dusk Hydra trembles and splits apart! Which dragon did you give the stone to?,"Ghostly: xxSETTLED Golden Hills, xxASSET Dragon of the Frozen Voice, xxOBSTACLE Dragon of the Critical Word, xxSCENE Broker Peace Between the Three Houses.","Golden: xxSETTLED Golden Hills, xxASSET Dragon of the Critical Word, xxOBSTACLE Dragon of the Frozen Voice, xxSCENE Melt the Hydra's Frozen Tongues.",
Intercept Freetrader Plans,Urban,xxSHADOW,4,"In the fading sunlight, Keel watched a quickly moving figure cross the alley below him, heading towards a door opposite Keel's vantage point. Keel aimed a crossbow bolt at the roof across from him, squeezed his hand, and shot. The bolt clicked open into a grappling hook as soon as it left the crossbow. It flew across the gap, wire trailing behind it, before it caught on the roof.","Keel tugged on the reeling mechanism and jumped. The wire pulled him up so he could grab onto the edge and haul himself over, rolling silently out of the jump. Keel collected himself just in time to hear the figure say 'A drought of red for the left eye' before being let into the back alley door.",,,,,The Imperial Freetrader hideout is guarded by a large bouncer at the back door,"There are windows around the structure, but they are barred from the inside",Their plans are kept in a locked chest on the second floor,,,"Much of the recovered plans are in code, but it's clear that Whitehold is central to the Empire's plans. A spy from Whitehold, Aldric, is tasked with spreading discord throughout Brightdune.","xxEMPIRE Whitehold, xxOBSTACLE Aldric the Deceitful, xxOBSTACLE Background Checks, xxASSET Imperial Codebook, xxSCENE Escape from Whitehold Prison.",,
Ambush Military Scouts,Boar's Peak,xxSTEEL,3,"The winter storm whipped through the pass, blasting tiny crystals of ice into Kanun's face. He rode hard into the easterly wind, gripping the reins tightly. 'Come on girl, nothing we haven't been through before. Parin is counting on us.'","The news from Eastkeep was unsettling, even for a veteran like Kanun. The wars in the West were ending, and Imperial forces were quickly building up again along the front. The Settled Land's forces were young, and worse yet, inexperienced. Imperial scouts had been sighted in the area. Setting up an ambush could yield valuable intelligence for the war effort.",,,,,"Imperial scouts move quickly in groups of three, fanning out to avoid surprise","One scout in each group holds a warhorn, which they are trained to sound at the first sign of trouble",,,,"Although a thorough job of interrogating the scouts was impossible, the scouts did divulge future means of attack against fortresses in the East. War Machines capable of launching flaming shot were being developed, and disgruntled Amber Hand settlers were paid to lower defenses. Following these revelations, defenses would need to be stepped up quickly. Time was running short.","xxDEVELOPED Develop Boar's Peak, xxOBSTACLE Amber Hand Raiders.",,
Disperse Riots in Loomwood,Loomwood,xxCOMMAND,6,"'When I feel like that, I ride my horse as fast as I can across the plains. Have you tried that?' Kanun asked.",Parin sighed quietly and looked towards the setting sun. 'I have not.',"Parin was certain the situation in Loomwood required a delicate touch. The blight had torn through their villages, creating fear and distrust, making it easier for the Autarch's voice to find a willing ear. Vidarna was threatening to separate from Brightdune, lashing out at well-meaning patrols and aid. The worst approach was to meet his distrust with violence.","'As for Loomwood, they will submit if we make a strong show of force,' Kanun said.",,,The people of Loomwood are descendants of the Amber Hand ,"Virdana, Speaker for Loomwood, leads attacks on Brightdune border patrols",The old songs haven't been sung since the swamp attacked,"Talks are colored with fear, fear of the horrors unleashed by the swamp",,"It doesn't happen overnight, but the people of Loomwood feel heard. Their distrust is high, but the attacks have stopped, and trade slowly resumes.","xxDEVELOPED Develop Loomwood, xxASSET Songs of Loomwood, xxOBSTACLE The Forgotten Dead.",,
