deck,m,@symbol1,@symbol2,@symbol3

A,,../../images/TIMER.png,../../images/DARKNESS.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/TRAP.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/SAFE.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/WEIRD.png
A,,../../images/TIMER.png,../../images/SAFE.png,../../images/WEIRD.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/DEADLY.png
A,,../../images/TIMER.png,../../images/SAFE.png,../../images/QUICK.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/QUICK.png
A,,../../images/TIMER.png,../../images/TRAP.png,../../images/SNEAKY.png
A,,../../images/PROGRESS.png,../../images/DOOM.png,../../images/SNEAKY.png
A,,../../images/THREAT.png,../../images/SORCERY.png,../../images/SNEAKY.png
A,,../../images/DISCORD.png,../../images/DARKNESS.png,../../images/SNEAKY.png
A,,../../images/PROGRESS.png,../../images/DARKNESS.png,../../images/QUICK.png
A,,../../images/PROGRESS.png,../../images/TRAP.png,../../images/GANG.png
A,,../../images/DISCORD.png,../../images/DARKNESS.png,../../images/GANG.png
A,,../../images/PROGRESS.png,../../images/DOOM.png,../../images/GANG.png
A,,../../images/PROGRESS.png,../../images/DISASTER.png,../../images/GANG.png
A,,../../images/DISCORD.png,../../images/DOOM.png,../../images/GANG.png
A,,../../images/APOTHEOSIS.png,../../images/DOOM.png,../../images/ELDRITCH.png

B,,../../images/TIMER.png,../../images/DARKNESS.png,../../images/FORCEFUL.png
B,,../../images/TIMER.png,../../images/TRAP.png,../../images/FORCEFUL.png
B,,../../images/TIMER.png,../../images/SAFE.png,../../images/FORCEFUL.png
B,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/FORCEFUL.png
B,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/WEIRD.png
B,,../../images/TIMER.png,../../images/SAFE.png,../../images/WEIRD.png
B,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/DEADLY.png
B,,../../images/TIMER.png,../../images/SAFE.png,../../images/QUICK.png
B,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/QUICK.png
B,,../../images/TIMER.png,../../images/TRAP.png,../../images/SNEAKY.png
B,,../../images/PROGRESS.png,../../images/DOOM.png,../../images/SNEAKY.png
B,,../../images/THREAT.png,../../images/SORCERY.png,../../images/SNEAKY.png
B,,../../images/DISCORD.png,../../images/DARKNESS.png,../../images/SNEAKY.png
B,,../../images/PROGRESS.png,../../images/DARKNESS.png,../../images/QUICK.png
B,,../../images/PROGRESS.png,../../images/TRAP.png,../../images/GANG.png
B,,../../images/DISCORD.png,../../images/DARKNESS.png,../../images/GANG.png
B,,../../images/PROGRESS.png,../../images/DOOM.png,../../images/GANG.png
B,,../../images/PROGRESS.png,../../images/DISASTER.png,../../images/GANG.png
B,,../../images/DISCORD.png,../../images/DOOM.png,../../images/GANG.png
B,,../../images/APOTHEOSIS.png,../../images/DOOM.png,../../images/ELDRITCH.png
